obo.FOODON_03308288,atlantic sole (raw),NONE
obo.FOODON_03308706,snail shell,NONE
obo.FOODON_03303125,maraschino cherry (green),NONE
obo.FOODON_00001888,fruit jelly food product,NONE
obo.FOODON_03306150,"prune juice (fabricated, artificially sweetened)",NONE
obo.FOODON_03310379,silk worm pupae for animal feed,NONE
obo.FOODON_03303605,chocolate-flavored topping,NONE
obo.FOODON_03302984,paddlefish roe (raw),NONE
obo.FOODON_03315162,fruit juice (dehydrated),NONE
obo.FOODON_03304564,Burgundy wine,NONE
obo.FOODON_03306501,hamburger seasoning,NONE
obo.FOODON_03308291,hogchoker (raw),NONE
obo.FOODON_03316564,fruit produce in sour pickle,NONE
obo.FOODON_03308290,striped sole (raw),NONE
obo.NCBITaxon_443748,yellow-eye mullet,NONE
obo.NCBITaxon_443748,"Aldrichetta forsteri (Valenciennes in Cuvier and Valenciennes, 1836)",NONE
obo.NCBITaxon_443748,yelloweye mullet,NONE
obo.NCBITaxon_443748,mullet,NONE
obo.NCBITaxon_443748,aldrichetta forsteri,NONE
obo.NCBITaxon_443748,Aldrichetta forsteri,NONE
obo.NCBITaxon_443748,"Aldrichetta forsteri (Valenciennes, 1836)",NONE
obo.FOODON_03308707,"snail (with shell, precooked, frozen)",NONE
obo.FOODON_03305006,"sair date (whole, raw)",NONE
obo.FOODON_00002006,lychee food product,NONE
obo.FOODON_03306653,soy lecithin spread,NONE
obo.FOODON_03306448,infant food product,NONE
obo.FOODON_03304011,brandy sauce,NONE
obo.FOODON_03309138,paddlefish (raw),NONE
obo.FOODON_03315691,fruit juice (single strength),NONE
obo.FOODON_03310143,Chianti wine,NONE
obo.FOODON_03317080,"pudding, dry mix",NONE
obo.FOODON_03308324,northern anchovy (raw),NONE
obo.FOODON_03310375,"moreton bay chestnut black bean (whole, raw)",NONE
obo.FOODON_03309076,ocean sole (raw),NONE
obo.FOODON_03308775,giant owl limpet (raw),NONE
obo.FOODON_03311000,seedless white grape,NONE
obo.FOODON_03311000,"seedless white grape (whole, raw)",NONE
obo.FOODON_03308149,oyster stew mix,NONE
obo.FOODON_03311055,vegetable and meat infant food,NONE
obo.FOODON_03305121,coffee fudge sauce,NONE
obo.FOODON_03308068,pike perch (raw),NONE
obo.FOODON_03315753,fruit juice (carbonated),NONE
obo.FOODON_03310751,Rhine wine,NONE
obo.FOODON_03303699,smoked seasoning salt,NONE
obo.FOODON_03308338,india sardine (raw),NONE
obo.FOODON_03309485,"ginseng root (whole, raw)",NONE
obo.FOODON_03309274,pacific sole (raw),NONE
obo.NCBITaxon_1266862,"Ammodytes dubius Reinhardt, 1837",NONE
obo.NCBITaxon_1266862,Ammodytes dubius,NONE
obo.NCBITaxon_1266862,"Ammodytes dubius Reinhardt, 1838",NONE
obo.NCBITaxon_1266862,ammodytes dubius,NONE
obo.NCBITaxon_1266862,sand lance,NONE
obo.NCBITaxon_1266862,northern sand lance,NONE
obo.FOODON_03317029,tomato puree (for further processing),NONE
obo.FOODON_00002094,peach butter food product,NONE
obo.FOODON_03309433,rainbow smelt (dressed),NONE
obo.FOODON_03311135,"high meat (chicken/turkey) and vegetables (strained or junior food, in jar)",NONE
obo.FOODON_03315052,fruit topping frozen ready-to-thaw-and-eat,NONE
obo.FOODON_03308258,pacific ocean perch (raw),NONE
obo.FOODON_03301446,mung bean sprout,A germinated or sprouted seed of a mung bean plant (Vigna radiata).
obo.FOODON_03301446,Mung bean sprout,A germinated or sprouted seed of a mung bean plant (Vigna radiata).
obo.FOODON_03316481,"fruit juice (raw, semi-finished)",NONE
obo.FOODON_03311270,Beaujolais wine,A French Appellation d'Origine Contrôlée (AOC) wine generally made of the Gamay grape which has a thin skin and is low in tannins.
obo.FOODON_03304354,herb salt seasoning,NONE
obo.FOODON_03308451,little tunny tuna (raw),NONE
obo.FOODON_00003878,american ginseng,A root of an american ginseng plant (Panax quinquefolius)
obo.FOODON_00003878,american ginseng root (whole),A root of an american ginseng plant (Panax quinquefolius)
obo.FOODON_03309428,north pacific sole (raw),NONE
obo.NCBITaxon_146480,Ammodytes marinus,NONE
obo.NCBITaxon_146480,raitt's sandeel,NONE
obo.NCBITaxon_146480,ammodytes marinus,NONE
obo.NCBITaxon_146480,"Ammodytes marinus Raitt, 1934",NONE
obo.NCBITaxon_146480,lesser sand-eel,NONE
obo.FOODON_03301458,tomato (canned with tomato juice),NONE
obo.FOODON_03310136,sago,"A starch extracted from the spongy centre, or pith, of various tropical palm stems, especially that of Metroxylon sagu. It is a major staple food for the lowland peoples of New Guinea and the Moluccas, where it is called saksak, rabia and sagu. The largest supply of sago comes from Southeast Asia, particularly Indonesia and Malaysia."
obo.FOODON_03311136,mixed vegetables or garden vegetables (strained or junior food in jar),NONE
obo.FOODON_03315053,fruit topping,NONE
obo.FOODON_03309130,ocean pike (raw),NONE
obo.FOODON_00003837,soy sprout,A germinated or sprouted seed of a soyabean plant (Glycine max).
obo.FOODON_00003837,soybean sprout,A germinated or sprouted seed of a soyabean plant (Glycine max).
obo.FOODON_00003837,soyabean sprout,A germinated or sprouted seed of a soyabean plant (Glycine max).
obo.FOODON_03316594,fruit juice (high sugar content),NONE
obo.FOODON_00002639,Zakynthos Wine,"Zakynthos Wine is wine produced on the Greek island of Zakynthos (Zante) in the Ionian Sea. A wide array of native Ionian grape varieties have been planted on the island for centuries, and are most famously used to make the intensely flavored, highly acidic Verdea wine."
obo.FOODON_00002639,zante wine,"Zakynthos Wine is wine produced on the Greek island of Zakynthos (Zante) in the Ionian Sea. A wide array of native Ionian grape varieties have been planted on the island for centuries, and are most famously used to make the intensely flavored, highly acidic Verdea wine."
obo.FOODON_03304738,celery salt,NONE
obo.FOODON_03308552,skate (raw),NONE
obo.FOODON_03311823,sole ground raw,NONE
obo.NCBITaxon_184215,ammodytes americanus,NONE
obo.NCBITaxon_184215,American sand lance,NONE
obo.NCBITaxon_184215,sand lance,NONE
obo.NCBITaxon_184215,"Ammodytes americanus DeKay, 1842",NONE
obo.NCBITaxon_184215,american sand lance,NONE
obo.NCBITaxon_184215,"Ammodytes americanus De Kay, 1842",NONE
obo.NCBITaxon_184215,Ammodytes americanus,NONE
obo.FOODON_03302669,"tomato (peeled, canned)",NONE
obo.FOODON_03310281,food made from oil,NONE
obo.FOODON_03315466,weaning food,NONE
obo.FOODON_03316039,sugar topping,NONE
obo.FOODON_03309136,pacific ocean perch fillet (raw),NONE
obo.FOODON_03309719,moth bean (whole),A seed of a moth bean plant (Vigna aconitifolia)
obo.FOODON_03309719,moth-bean,A seed of a moth bean plant (Vigna aconitifolia)
obo.FOODON_03309719,mat bean,A seed of a moth bean plant (Vigna aconitifolia)
obo.FOODON_03309719,dew bean,A seed of a moth bean plant (Vigna aconitifolia)
obo.FOODON_03309719,Turkish gram,A seed of a moth bean plant (Vigna aconitifolia)
obo.FOODON_03309719,matki,A seed of a moth bean plant (Vigna aconitifolia)
obo.FOODON_03309719,mothbean,A seed of a moth bean plant (Vigna aconitifolia)
obo.FOODON_03309719,moth bean,A seed of a moth bean plant (Vigna aconitifolia)
obo.FOODON_03316619,fruit juice (fresh),NONE
obo.FOODON_00002641,claret,Any wine produced in the Bordeaux region of southwest France.
obo.FOODON_00002641,Bordeaux wine,Any wine produced in the Bordeaux region of southwest France.
obo.FOODON_03304740,onion salt,NONE
obo.FOODON_03308624,wrasse (raw),NONE
obo.FOODON_00003893,chinese ginseng root (whole),A root of a chinese ginseng plant (Panax ginseng)
obo.FOODON_00003893,korean ginseng,A root of a chinese ginseng plant (Panax ginseng)
obo.FOODON_03306484,alligator meat (raw),NONE
obo.NCBITaxon_476914,pacific sand lance,NONE
obo.NCBITaxon_476914,Ammodytes hexapterus,NONE
obo.NCBITaxon_476914,sand lance,NONE
obo.NCBITaxon_476914,Pacific sand lance,NONE
obo.NCBITaxon_476914,"Ammodytes hexapterus Pallas, 1811",NONE
obo.NCBITaxon_476914,"Ammodytes hexapterus Pallas, 1814",NONE
obo.NCBITaxon_476914,ammodytes hexapteru,NONE
obo.FOODON_03304668,"tomato (comminuted, canned)",NONE
obo.FOODON_03315268,food (starch or flour thickened),NONE
obo.FOODON_03316113,follow-up formula,NONE
obo.FOODON_03316430,fruit syrup calorie-reduced,NONE
obo.FOODON_03309156,sand perch (raw),NONE
obo.FOODON_00002749,brown bean,The brown bean is chestnut brown colored bean with a small white-eye which originates in Scandanavia.
obo.FOODON_00002749,brown bean (whole),The brown bean is chestnut brown colored bean with a small white-eye which originates in Scandanavia.
obo.FOODON_03317012,"fruit juice (raw, sweetened)",NONE
obo.FOODON_00002585,Cabernet Sauvignon wine,A Cabernet Sauvignon wine is any wine produced using only Cabernet Sauvignon grapes. It often appears with Merlot and Cabernet Franc in blended Bordeaux wines.
obo.FOODON_03307739,garlic salt,NONE
obo.FOODON_03308649,ling (raw),NONE
obo.FOODON_03307077,"chicken-flavored consomme mix (dry, instant)",NONE
obo.FOODON_03302395,sangria-flavored nonalcoholic beverage base,NONE
obo.FOODON_03311378,lemon cookie,NONE
obo.FOODON_00001666,broccoli food product,NONE
obo.FOODON_03305424,imitation ice cream,NONE
obo.FOODON_03304638,rattlesnake meat (raw),NONE
obo.FOODON_03414182,"Hericium coralloides (Scop.) Pers., 1794",A fruitbody of a Hericium coralloides fungus.
obo.FOODON_03414182,coralloides,A fruitbody of a Hericium coralloides fungus.
obo.FOODON_03414182,coral hydnum,A fruitbody of a Hericium coralloides fungus.
obo.FOODON_03414182,coral tooth mushroom,A fruitbody of a Hericium coralloides fungus.
obo.FOODON_03414182,hericium,A fruitbody of a Hericium coralloides fungus.
obo.FOODON_03414182,coral tooth fungus,A fruitbody of a Hericium coralloides fungus.
obo.FOODON_03310466,marijuana seed,NONE
obo.FOODON_03303739,fruit drop (naturally flavored),NONE
obo.FOODON_03414540,pale chanterelle,A fruitbody of a Cantharellus pallens fungus.
obo.FOODON_03414540,Cantharellus pallens Pilát 1959,A fruitbody of a Cantharellus pallens fungus.
obo.NCBITaxon_84621,"Ammodytes tobianus Linnaeus, 1758",NONE
obo.NCBITaxon_84621,small sandeel,NONE
obo.NCBITaxon_84621,ammodytes tobianus,NONE
obo.NCBITaxon_84621,Ammodytes tobianus,NONE
obo.NCBITaxon_84621,sandeel,NONE
obo.NCBITaxon_225164,Lottia gigantea,NONE
obo.NCBITaxon_225164,giant owl limpet,NONE
obo.NCBITaxon_225164,"Lottia gigantea G. B. Sowerby I, 1834",NONE
obo.NCBITaxon_225164,lottia gigantea,NONE
obo.NCBITaxon_225164,"Lottia gigantea (Sowerby, 1934)",NONE
obo.NCBITaxon_225164,"limpet, giant owl",NONE
obo.NCBITaxon_225164,owl limpet,NONE
obo.NCBITaxon_225164,limpet,NONE
obo.FOODON_03304882,"tomato wedge (artificially sweetened, canned)",NONE
obo.FOODON_03315282,snack (cheese- or sour cream-flavored),NONE
obo.FOODON_03317094,preserved food for infant and young children,NONE
obo.FOODON_00002033,milk based topping food product,NONE
obo.FOODON_00002195,redfish perch food product,NONE
obo.FOODON_00003403,common bean (whole),A seed of a common bean plant (Phaseolus vulgaris).
obo.FOODON_00003403,common bean,A seed of a common bean plant (Phaseolus vulgaris).
obo.FOODON_03317013,"fruit juice (raw, unsweetened)",NONE
obo.FOODON_00002588,Malbec wine,A Malbec wine is any wine produced using only Malbec grapes.
obo.FOODON_03315559,table salt with reduced sodium content,NONE
obo.FOODON_03308700,pacific blue marlin (raw),NONE
obo.FOODON_00003894,japanese ginseng,A root of a japanese ginseng plant (Panax japonicus)
obo.FOODON_00003894,japanese ginseng root (whole),A root of a japanese ginseng plant (Panax japonicus)
obo.FOODON_03307553,"strawberry-flavored jelly mix (instant, artificially sweetened)",NONE
obo.FOODON_03302662,coffee-type beverage base (caffeine-free),NONE
